,Program,Problem,Number of Nodes,Condition,Relative Error
0, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['dirichlet', 'dirichlet']",  1.9737298215558337e-16
1, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['dirichlet', 'dirichlet']",  2.7632217501781674e-15
2, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['dirichlet', 'dirichlet']",  8.980470688079044e-15
3, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['dirichlet', 'dirichlet']",  1.8355687340469256e-14
4, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['dirichlet', 'dirichlet']",  1.2483841121340649e-14
5, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['dirichlet', 'dirichlet']",  6.236986236116436e-14
6, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['dirichlet', 'dirichlet']",  2.243143942198205e-13
7, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['dirichlet', 'neumann']",  1.7763568394002505e-15
8, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['dirichlet', 'neumann']",  1.5000346643824338e-14
9, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['dirichlet', 'neumann']",  5.921189464667502e-14
10, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['dirichlet', 'neumann']",  3.651400169878293e-14
11, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['dirichlet', 'neumann']",  2.329001189435884e-14
12, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['dirichlet', 'neumann']",  1.380624010178306e-13
13, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['dirichlet', 'neumann']",  5.861977570020827e-13
14, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['neumann', 'dirichlet']",  6.41462192005646e-16
15, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['neumann', 'dirichlet']",  4.687608326195105e-15
16, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['neumann', 'dirichlet']",  2.5017025488220195e-14
17, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['neumann', 'dirichlet']",  5.6374658028188504e-14
18, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['neumann', 'dirichlet']",  9.320939082297425e-14
19, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['neumann', 'dirichlet']",  1.5205121112810756e-13
20, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['neumann', 'dirichlet']",  2.601375904810589e-13
21, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['dirichlet', 'dirichlet']",  0.5552003422213807
22, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['dirichlet', 'dirichlet']",  0.2180144012183023
23, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['dirichlet', 'dirichlet']",  0.06447794314245703
24, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['dirichlet', 'dirichlet']",  0.01636784740450803
25, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['dirichlet', 'dirichlet']",  0.004107256805181203
26, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['dirichlet', 'dirichlet']",  0.0010277666273391661
27, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['dirichlet', 'dirichlet']",  0.00025700112894488925
28, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['dirichlet', 'neumann']",  0.5552003422213767
29, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['dirichlet', 'neumann']",  0.2180144012182923
30, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['dirichlet', 'neumann']",  0.06447794314245059
31, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['dirichlet', 'neumann']",  0.016367847404505254
32, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['dirichlet', 'neumann']",  0.0041072568051683245
33, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['dirichlet', 'neumann']",  0.0010277666273728059
34, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['dirichlet', 'neumann']",  0.00025700112923565666
35, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['neumann', 'dirichlet']",  0.5552003422213756
