,Program,Problem,Number of Nodes,Condition,Relative Error
0, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['dirichlet', 'dirichlet']",  1.9737298215558337e-16
1, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['dirichlet', 'dirichlet']",  4.63826508065621e-15
2, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['dirichlet', 'dirichlet']",  2.2993952421125465e-14
3, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['dirichlet', 'dirichlet']",  5.46723160570966e-14
4, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['dirichlet', 'dirichlet']",  1.5868787765308903e-13
5, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['dirichlet', 'dirichlet']",  2.7582874256242777e-13
6, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['dirichlet', 'dirichlet']",  1.2922009141726044e-12
7, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['dirichlet', 'neumann']",  1.7763568394002505e-15
8, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['dirichlet', 'neumann']",  2.565848768022584e-14
9, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['dirichlet', 'neumann']",  1.3322676295501878e-13
10, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['dirichlet', 'neumann']",  1.7191186745751312e-13
11, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['dirichlet', 'neumann']",  7.5613589463804e-13
12, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['dirichlet', 'neumann']",  8.307428818928505e-13
13, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['dirichlet', 'neumann']",  7.268852186825825e-12
14, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  11,"  ['neumann', 'dirichlet']",  1.5296406117057713e-15
15, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  21,"  ['neumann', 'dirichlet']",  7.53718075606634e-15
16, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  41,"  ['neumann', 'dirichlet']",  5.6090934366339854e-14
17, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  81,"  ['neumann', 'dirichlet']",  1.9601604290326376e-13
18, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  161,"  ['neumann', 'dirichlet']",  9.318595278134329e-13
19, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  321,"  ['neumann', 'dirichlet']",  2.551637913307382e-12
20, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  laplace,  641,"  ['neumann', 'dirichlet']",  1.1293163934864323e-11
21, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['dirichlet', 'dirichlet']",  8.829190981928887
22, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['dirichlet', 'dirichlet']",  0.10561908755060945
23, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  41,"  ['dirichlet', 'dirichlet']",  0.006220287319938844
24, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  81,"  ['dirichlet', 'dirichlet']",  0.00039000962307345066
25, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  161,"  ['dirichlet', 'dirichlet']",  2.51134994400104e-05
26, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  321,"  ['dirichlet', 'dirichlet']",  1.58145232964646e-06
27, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  641,"  ['dirichlet', 'dirichlet']",  9.90274816592418e-08
28, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  11,"  ['dirichlet', 'neumann']",  8.829190981928857
29, /home/yamaguchi/numerical-analysis-modules/example/fem1d.py,  poisson,  21,"  ['dirichlet', 'neumann']",  0.10561908755059746
